Section,Parameters,Count,Management keeps me informed about important issues and changes.,Management makes its expectations clear.,I can ask management any reasonable question and get a straight answer.,"Management is approachable, easy to talk with.",Management is competent at running the business.,Management hires people who fit in well here.,Management does a good job of assigning and coordinating people.,Management trusts people to do a good job without watching over their shoulders.,People here are given a lot of responsibility.,Management has a clear view of where the organization is going and how to get there.,Management delivers on its promises.,Management's actions match its words.,I believe management would lay people off only as a last resort.,Management is honest and ethical in its business practices.,Our executives fully embody the best characteristics of our company.,I am offered training or development to further myself professionally.,I am given the resources and equipment to do my job.,Management shows appreciation for good work and extra effort.,Management recognizes honest mistakes as part of doing business.,"We celebrate people who try new and better ways of doing things, regardless of the outcome.",Management genuinely seeks and responds to suggestions and ideas.,Management involves people in decisions that affect their jobs or work environment.,This is a physically safe place to work.,This is a psychologically and emotionally healthy place to work.,Our facilities contribute to a good working environment.,People are encouraged to balance their work life and their personal life.,"Management shows a sincere interest in me as a person, not just an employee.",We have special and unique benefits here.,I am able to take time off from work when I think it's necessary.,People here are paid fairly for the work they do.,I feel I receive a fair share of the profits made by this organization.,Everyone has an opportunity to get special recognition.,I am treated as a full member here regardless of my position.,Promotions go to those who best deserve them.,Managers avoid playing favourites.,People avoid politicking and backstabbing as ways to get things done.,People here are treated fairly regardless of their age.,People here are treated fairly regardless of their race or caste.,People here are treated fairly regardless of their gender.,"If I am unfairly treated, I believe I'll be given a fair hearing if I appeal.",People here are treated fairly regardless of their sexual orientation.,I feel I make a difference here.,My work has special meaning: this is not 'just a job'.,"When I look at what we accomplish, I feel a sense of pride.",People here are willing to put in extra effort to get the job done.,People here quickly adapt to changes needed for our organization’s success.,I want to work here for a long time.,I'm proud to tell others I work here.,People look forward to coming to work here.,I feel good about the ways we contribute to the society.,I would strongly endorse my company to friends and family as a great place to work.,"Our customers would rate the service we deliver as ""excellent"".",I can be myself around here.,People celebrate special events around here.,People care about each other here.,This is a fun place to work.,"When you join the organization, you are made to feel welcome.","When people change jobs or work units, they are made to feel right at home.",You can count on people to cooperate.,Management does a good job of developing managers for leadership positions.,Management does a good job of attracting talent for key positions.,People here understand how their role contributes to the organization's goals.,There are opportunities here for my career growth.,Performance of employees here is fairly evaluated.,Management takes action on feedback gathered from employees.
Role,Below_Supervisory,69,84,84,67,74,91,80,77,77,76,81,75,74,84,87,83,84,80,72,72,80,74,62,96,79,78,72,78,76,77,62,57,58,84,60,50,59,76,84,80,79,87,74,78,77,83,83,84,91,81,86,84,90,75,90,70,74,86,71,72,74,78,81,77,66,74
Role,Supervisory,42,76,79,64,79,95,79,90,81,83,86,81,81,83,90,93,88,86,80,79,90,86,85,95,95,90,79,81,79,81,64,60,71,88,69,64,71,83,93,93,86,93,90,88,95,83,93,93,98,83,95,90,95,83,93,81,90,90,81,74,88,88,93,76,74,76
Role,Managerial,38,67,76,61,76,83,68,74,78,78,74,74,68,78,89,74,76,65,66,70,76,57,64,95,79,82,64,69,67,84,68,51,63,79,58,56,53,79,89,84,67,83,66,76,76,84,74,66,81,82,86,79,87,71,86,74,71,79,65,71,70,62,72,72,56,61
Role,Senior_Managerial,27,74,81,65,89,85,63,88,78,81,70,67,74,93,81,85,77,70,73,74,67,70,63,96,93,85,81,78,74,81,58,59,63,93,56,59,48,85,100,93,70,93,85,92,74,63,77,85,93,89,88,89,89,93,93,77,78,96,72,58,73,65,81,73,69,69
Gender,Female,45,76,82,64,80,96,78,78,82,84,82,78,71,80,87,76,80,77,73,71,80,78,70,98,89,78,76,80,76,80,62,47,60,80,58,49,49,78,87,82,87,89,76,82,71,80,84,76,93,87,89,84,93,69,91,73,76,89,71,70,69,80,84,76,64,71
Gender,Male,129,77,80,64,76,87,74,84,76,78,78,74,75,85,88,87,83,77,73,74,79,70,67,95,83,85,73,76,74,80,63,60,63,88,63,58,64,81,91,87,73,89,79,83,83,80,82,85,91,81,88,85,89,82,91,76,78,86,72,70,80,74,82,75,67,71
Age,25_years_or_younger,11,100,91,91,82,100,100,100,82,82,91,100,91,91,100,100,82,82,100,82,91,91,55,100,100,100,91,100,100,91,73,73,82,91,100,55,55,73,100,100,100,100,91,82,82,91,100,91,100,100,100,100,100,82,100,100,91,100,82,73,91,100,100,91,90,82
Age,26_years_to_34_years,62,77,84,61,75,93,79,80,80,78,81,77,76,85,85,87,92,82,67,70,84,70,69,95,84,82,69,79,75,82,66,57,56,82,63,54,61,79,82,81,77,85,79,82,77,84,83,81,95,81,90,84,94,76,90,74,82,82,74,70,82,79,85,82,70,75
Age,35_years_to_44_years,84,72,76,60,76,87,68,77,75,76,75,69,71,80,88,79,75,71,70,72,76,71,65,94,82,80,72,70,68,77,58,49,65,85,57,55,56,80,93,87,73,90,73,80,83,77,81,82,86,81,86,83,89,77,88,68,70,89,67,71,71,70,77,67,60,65
Age,45_years_to_54_years,16,81,81,81,88,81,75,93,81,93,81,75,69,88,81,81,80,81,87,81,69,69,87,100,94,88,81,88,81,75,71,75,56,94,56,63,63,88,94,88,75,81,88,93,75,69,73,88,94,88,87,88,75,94,94,87,88,88,79,53,67,67,80,73,60,73
